ရောဂါအမည်,ကြိုတင်ကာကွယ်ရန်_၁,ကြိုတင်ကာကွယ်ရန်_၂,ကြိုတင်ကာကွယ်ရန်_၃,ကြိုတင်ကာကွယ်ရန်_၄
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ/ကျိန်းစပ်စေသော အရာများကို ရပ်တန့်ပါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,မတည့်သော ဆေးဝါး သောက်သုံးမှုကို ချက်ချင်းရပ်ပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
ငှက်ဖျားရောဂါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,အဆီများသော အစားအစာများကို ရှောင်ကြဉ်ပါ,အသား၊ ငါး အစားအစာများကို ရှောင်ကြဉ်ပါ,ခြင် မဝင်နိုင်အောင် ကာကွယ်ပါ
ဓာတ်မတည့်ရောဂါ,ကဲလာမိုင်း (Calamine) လိမ်းဆေး လိမ်းပါ,ထိခိုက်ထားသောနေရာကို ပတ်တီးစည်းထားပါ,,ယားယံသောနေရာကို ရေခဲကပ်ပေးပါ
သိုင်းရွိုက်ဟော်မုန်း နည်းရောဂါ,စိတ်ဖိစီးမှုကို လျှော့ချပါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,ဝဝလင်လင် အိပ်စက်အနားယူပါ
စက်ရောင် အရေပြားရောဂါ (Psoriasis),လက်ကို ရေနွေးနှင့် ဆပ်ပြာသုံး၍ သေချာစွာ ဆေးကြောပါ,ဖိအားပေး၍ သွေးထွက်ခြင်းကို ရပ်တန့်အောင် ပြုလုပ်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ဆားရည်ဖြင့် ရေချိုး/စိမ်ပေးပါ
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,အစာစားပြီးပြီးချင်း လှဲအိပ်ခြင်းမှ ရှောင်ကြဉ်ပါ,ကျန်းမာသော ဝိတ်ကို ထိန်းသိမ်းပါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ရေအေးဖြင့် ရေချိုးပါ,ယားယံပျောက်ဆေး အသုံးပြုပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,လက်ကို သေချာစွာ ဆေးကြောပါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
အရိုးအဆစ် ယိုယွင်းရောဂါ,ပါရာစီတမော သောက်ပါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ,ဆားရည်ဖြင့် ရေချိုး/စိမ်ပေးပါ
ချာချာလည် ခေါင်းမူးရောဂါ (Vertigo),လှဲလျောင်း အနားယူပါ,ခန္ဓာကိုယ် အနေအထားကို ရုတ်တရက် ပြောင်းလဲခြင်းမှ ရှောင်ပါ,ခေါင်းကို ရုတ်တရက် လှုပ်ရှားခြင်းမှ ရှောင်ကြဉ်ပါ,စိတ်လက် ပေါ့ပါးစွာ အနားယူပါ
သွေးတွင်းသကြားဓာတ် နည်းရောဂါ,ဘေးစောင်း လှဲအိပ်ပါ,သွေးခုန်နှုန်း သို့မဟုတ် စည်းချက်ကို စစ်ဆေးပါ,သကြားဓာတ်ပါသော အချိုရည် သောက်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ
ဝက်ခြံရောဂါ,တစ်နေ့ နှစ်ကြိမ် ရေချိုးပါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,ရေများများ သောက်ပါ,အလှကုန် သို့မဟုတ် ဆေးဝါး အများအပြား သုံးစွဲခြင်းမှ ရှောင်ကြဉ်ပါ
ဆီးချိုရောဂါ,မျှတသော အာဟာရ ရရှိအောင် စားသုံးပါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
အရေပြား ပိုးဝင် အနာကွက်ရောဂါ,ထိခိုက်ထားသော နေရာကို ရေနွေးနွေးတွင် စိမ်ပေးပါ,ပဋိဇီဝဆေး အသုံးပြုပါ,အနာဖေးများကို အဝတ်စိုဖြင့် အသာအယာ အစိုဓာတ်ပေး၍ ဖယ်ရှားပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ
သွေးတိုးရောဂါ,တရားထိုင်ခြင်း/စိတ်ငြိမ်အောင် ပြုလုပ်ပါ,ဆားရည်ဖြင့် ရေချိုး/စိမ်ပေးပါ,စိတ်ဖိစီးမှုကို လျှော့ချပါ,ဝဝလင်လင် အိပ်စက်အနားယူပါ
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,ပရိုဘိုင်အိုတစ် (Probiotic) အစားအစာများ စားသုံးပါ,နို့နှင့် နို့ထွက်ပစ္စည်းများ စားသုံးခြင်းကို ရှောင်ကြဉ်ပါ,အရက်သောက်သုံးမှုကို ကန့်သတ်ပါ
လိပ်ခေါင်းရောဂါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,Witch Hazel သဘာဝဆေးဘက်ဝင်ပစ္စည်း အသုံးပြုပါ,အက်ပ်ဆွန်ဆား (Epsom salt) ထည့်ထားသော ရေနွေးနွေးဖြင့် ရေချိုးပါ,ရှားစောင်းလက်ပပ် ရည် သောက်သုံးပါ
အအေးမိ တုပ်ကွေးရောဂါ,ဗီတာမင်စီ ဓာတ်ကြွယ်ဝသော ဖျော်ရည်များ သောက်ပါ,ရေနွေးငွေ့ ရှူပေးပါ,အေးသော အစားအစာများကို ရှောင်ကြဉ်ပါ,အဖျား ပုံမှန် တိုင်းတာ စစ်ဆေးပါ
