ရောဂါအမည်,ရောဂါဖော်ပြချက်
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ဆေးဝါးသောက်သုံးမှုကြောင့် ခန္ဓာကိုယ်တွင် ဘေးထွက်ဆိုးကျိုး သို့မဟုတ် ထိခိုက်ဒဏ်ရာရမှု ဖြစ်ပွားခြင်းဖြစ်သည်။ ဆေးတစ်ကြိမ်သောက်ရုံဖြင့်လည်းကောင်း၊ ကာလရှည်သောက်သုံးမှုကြောင့်လည်းကောင်း၊ ဆေးနှစ်မျိုး သို့မဟုတ် နှစ်မျိုးထက်မက ပေါင်းစပ်သောက်သုံးမှုကြောင့်လည်းကောင်း ဖြစ်ပွားနိုင်သည်။
ငှက်ဖျားရောဂါ,အနော့ဖီးလီးစ် (Anopheles) ခြင်ကိုက်ခံရမှု၊ မသန့်ရှင်းသော ဆေးထိုးအပ်နှင့် သွေးသွင်းမှုတို့မှတစ်ဆင့် ကူးစက်တတ်သည့် ပရိုတိုဇိုးဝါး ပိုးမွှားကြောင့်ဖြစ်သော ကူးစက်ရောဂါဖြစ်သည်။ ဖယ်စီပါရမ် (Falciparum) ငှက်ဖျားရောဂါသည် အသက်အန္တရာယ် အစိုးရိမ်ရဆုံး အမျိုးအစားဖြစ်သည်။
ဓာတ်မတည့်ရောဂါ,ပုံမှန်အားဖြင့် ခန္ဓာကိုယ်ကို ဘေးဥပဒ်မပေးနိုင်သော အစားအစာ၊ ဝတ်မှုန် သို့မဟုတ် အိမ်မွေးတိရစ္ဆာန် အမွှေးအမျှင် စသည့် ပြင်ပဓာတ်ပစ္စည်းများကို ခန္ဓာကိုယ် ခုခံအားစနစ်မှ တုံ့ပြန်မှုကြောင့် ဖြစ်ပွားသည်။
သိုင်းရွိုက်ဟော်မုန်း နည်းရောဂါ,သိုင်းရွိုက်ဂလင်းမှ သိုင်းရွိုက်ဟော်မုန်း လုံလောက်စွာ ထုတ်လုပ်နိုင်ခြင်းမရှိသော ပြသနာကြောင့် ဖြစ်ပွားသည့် ပြသနာဖြစ်သည်။
စက်ရောင် အရေပြားရောဂါ (Psoriasis),ငွေရောင်အကြေးခွံများ ဖုံးအုပ်နေပြီး ထူထဲနီရဲသော အဖုအပိန့်များ ထွက်ပေါ်သည့် အရေပြားရောဂါဖြစ်သည်။ ဦးရေပြား၊ တံတောင်ဆစ်၊ ဒူးခေါင်းနှင့် ခါးအောက်ပိုင်းတို့တွင် အဖြစ်များပြီး လူတစ်ဦးမှတစ်ဦးသို့ မကူးစက်နိုင်ပါ။
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နှင့် အစာရေမျိုပြွန်ကြားရှိ ကြွက်သားကွင်း လုပ်ဆောင်ချက် ချို့ယွင်းမှုကြောင့် အစာအိမ်တွင်း အက်ဆစ်များ အထက်သို့ ပြန်တက်သည့် အစာခြေစနစ် ရောဂါဖြစ်သည်။ ရင်ပူခြင်းနှင့် အစာမကြေ ရင်ပြည့်ခြင်းတို့ကို ဖြစ်စေသည်။
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,သည်းခြေပြွန်ဆဲလ်များ ပျက်စီးမှုကြောင့် အသည်းမှ အူလမ်းကြောင်းသို့ သည်းခြေရည် စီးဆင်းမှု ပိတ်ဆို့ဟန့်တားခံရသည့် နာတာရှည် ရောဂါဖြစ်သည်။
အသည်းရောင် အသားဝါ (အေ) ရောဂါ,အသည်းရောင် အသားဝါ (အေ) ဗိုင်းရပ်စ်ပိုးကြောင့်ဖြစ်သည့် ကူးစက်မြန် အသည်းရောင်ရောဂါဖြစ်သည်။ အသည်းရောင်ရမ်းစေပြီး အသည်း၏ ပုံမှန်လုပ်ဆောင်ချက်များကို ထိခိုက်စေသည်။
အရိုးအဆစ် ယိုယွင်းရောဂါ,အရိုးအဆစ်များအကြားရှိ အကာအကွယ်အဆစ်အမြှေး (အဆစ်အရိုးနု) များ အချိန်ကြာလာသည်နှင့်အမျှ ယိုယွင်းပျက်စီးလာမှုကြောင့် ဖြစ်ပွားသည့် အဖြစ်များသော အဆစ်ရောင်ရောဂါဖြစ်သည်။
ချာချာလည် ခေါင်းမူးရောဂါ (Vertigo),ခေါင်းအနေအထား ပြောင်းလဲချိန်တွင် ခန္ဓာကိုယ် သို့မဟုတ် ပတ်ဝန်းကျင်တစ်ခုလုံး ချာချာလည် မူးဝေသည့် ခံစားချက်ကို ရုတ်တရက် ခံစားရစေသည့် အတွင်းနားပိုင်းဆိုင်ရာ ပြသနာဖြစ်သည်။
သွေးတွင်းသကြားဓာတ် နည်းရောဂါ,သွေးတွင်းရှိ သကြားဓာတ် (ဂလူးကို့စ်) ပမာဏ ပုံမှန်ထက် လျော့နည်းသွားသည့် အခြေအနေဖြစ်သည်။ ဆီးချိုဆေးဝါးများကြောင့် အဖြစ်များသော်လည်း အခြားသော ကျန်းမာရေးပြသနာများကြောင့်လည်း ဖြစ်ပွားနိုင်သည်။
ဝက်ခြံရောဂါ,မွေးညင်းပေါက်များနှင့် ဆီဂလင်းများ ပိတ်ဆို့ရောင်ရမ်းမှုကြောင့် မျက်နှာနှင့် ရင်ဘတ်/ကျောဘက်တို့တွင် အဖုအပိန့်များ၊ ဝက်ခြံဖုများနှင့် ပြည်ဖုများ ထွက်ပေါ်သည့် အရေပြားပြသနာဖြစ်သည်။
ဆီးချိုရောဂါ,သွေးတွင်းရှိ သကြားဓာတ် (ဂလူးကို့စ်) ပမာဏ ပုံမှန်ထက် လွန်ကဲစွာ မြင့်တက်နေသည့် နာတာရှည် ရောဂါဖြစ်သည်။ အင်ဆူလင်ဟော်မုန်း ထုတ်လုပ်မှု သို့မဟုတ် သုံးစွဲမှု ချို့ယွင်းခြင်းကြောင့် ဖြစ်ပွားသည်။
အရေပြား ပိုးဝင် အနာကွက်ရောဂါ,ကလေးငယ်များတွင် အဖြစ်များပြီး ကူးစက်မြန်သော အရေပြား ဗက်တီရီးယား ပိုးဝင်ရောဂါဖြစ်သည်။ မျက်နှာ၊ နှာခေါင်း၊ ပါးစပ်ပတ်လည်တို့တွင် အနီကွက်များနှင့် အရည်ကြည်ဖုများ ပေါက်ပြီး ပေါက်ထွက်ကာ ပျားရည်ရောင် အနာဖတ်များ ကျန်ရစ်တတ်သည်။
သွေးတိုးရောဂါ,သွေးလွှတ်ကြောများအတွင်း သွေးဖိအား ရေရှည် အစဉ်အမြဲ မြင့်တက်နေသည့် ကျန်းမာရေး အခြေအနေဖြစ်သည်။ ရောဂါလက္ခဏာ သိသိသာသာ မပြဘဲ ဖြစ်ပွားနေတတ်သည်။
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အစာအိမ် သို့မဟုတ် အူသိမ်၏ အတွင်းဘက် နံရံလွှာများတွင် အနာဖြစ်ပွားသည့် ရောဂါဖြစ်သည်။ အစာအိမ် အက်ဆစ်ဓာတ် လွန်ကဲခြင်း သို့မဟုတ် ဗက်တီရီးယား ပိုးဝင်ခြင်းတို့ကြောင့် အဓိက ဖြစ်ပွားသည်။
လိပ်ခေါင်းရောဂါ,စပါးပေါက်/စပလိန် (စပလိန်ဝ) တစ်ဝိုက်ရှိ သွေးပြန်ကြောများ ဖောင်းကြွရောင်ရမ်းလာသည့် ရောဂါဖြစ်သည်။ ဝမ်းသွားစဉ် နာကျင်ခြင်း သို့မဟုတ် သွေးပါခြင်းတို့ ဖြစ်စေနိုင်သည်။
အအေးမိ တုပ်ကွေးရောဂါ,နှာခေါင်းနှင့် လည်ချောင်း (အသက်ရှူလမ်းကြောင်း အထက်ပိုင်း) တို့တွင် ဗိုင်းရပ်စ်ပိုးဝင်ရောက်မှုကြောင့် ဖြစ်ပွားသည့် အဖြစ်များသော ရောဂါဖြစ်သည်။
ရေကျောက်ရောဂါ,ဗာရီဆဲလာ ဇိုစတာ (Varicella-zoster) ဗိုင်းရပ်စ်ပိုးကြောင့် ဖြစ်ပွားသည့် ကူးစက်မြန် ရောဂါဖြစ်သည်။ ရင်ဘတ်၊ ကျောနှင့် မျက်နှာတို့တွင် ယားယံသော အရည်ကြည်ဖုများ စတင်ထွက်ပေါ်ပြီး ခန္ဓာကိုယ်တစ်ခုလုံးသို့ ပျံ့နှံ့သွားတတ်သည်။
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,အသက်အရွယ် ရလာသည်နှင့်အမျှ ဇက်ဆစ် (လည်ပင်းကျောရိုးဆစ်) များ ယိုယွင်းပျက်စီးလာပြီး အရိုးအတိုင်တက်ခြင်း သို့မဟုတ် အာရုံကြော ညှပ်ခြင်းတို့ ဖြစ်ပွားသည့် ရောဂါဖြစ်သည်။
သိုင်းရွိုက်ဟော်မုန်း လွန်ကဲရောဂါ,သိုင်းရွိုက်ဂလင်းမှ သိုင်းရွိုက်ဟော်မုန်း အလွန်အမင်း အထွက်လွန်သည့် ရောဂါဖြစ်သည်။ ခန္ဓာကိုယ်၏ စွမ်းအင်လောင်ကျွမ်းမှုကို မြန်ဆန်စေပြီး ကိုယ်အလေးချိန် လျော့ကျခြင်းနှင့် နှလုံးခုန်မြန်ခြင်းတို့ ဖြစ်စေသည်။
ဆီးလမ်းကြောင်း ပိုးဝင်ရောဂါ,ကျောက်ကပ်၊ ဆီးပြွန်၊ ဆီးအိမ် သို့မဟုတ် ဆီးပြွန်ဝတို့တွင် ဗက်တီရီးယား ပိုးဝင်ရောက်သည့် ရောဂါဖြစ်သည်။ ဆီးခဏခဏသွားချင်ခြင်း၊ ဆီးသွားလျှင် ပူစပ်အောင့်နင့်ခြင်းတို့ ဖြစ်ပွားတတ်သည်။
သွေးပြန်ကြော ထောင်ရောဂါ,အရေပြားအောက်ရှိ သွေးပြန်ကြောများ ထားရမ်းဖောင်းကြွပြီး ကောက်ကွေးထောင်ထွက်လာသည့် ရောဂါဖြစ်သည်။ အသက်ကြီးသူများနှင့် အမျိုးသမီးများ၏ ခြေထောက်တို့တွင် အဖြစ်များသည်။
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),အိပ်ခ်ျအိုင်ဗီ (HIV) ဗိုင်းရပ်စ်ပိုးကြောင့် ခုခံအားစနစ် ပြင်းထန်စွာ ပျက်စီးသွားပြီး ကူးစက်ရောဂါများကို မတွန်းလှန်နိုင်တော့သည့် ရောဂါအခြေအနေဖြစ်သည်။
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,ဦးနှောက်အတွင်း သွေးကြောပေါက်ထွက်၍ သွေးယိုစိမ့်မှုကြောင့် ဦးနှောက်ဆဲလ်များ ပျက်စီးပြီး ခန္ဓာကိုယ်တစ်ခြမ်း လေဖြတ်ခြင်း၊ ပြင်းထန်စွာ ခေါင်းကိုက်ခြင်းနှင့် သတိလစ်ခြင်းတို့ ဖြစ်ပွားသည့် အရေးပေါ် အခြေအနေဖြစ်သည်။
တိုင်ဖွိုက် အဖျားရောဂါ,ဆာမိုနဲလာ တိုင်ဖီ (Salmonella typhi) ဗက်တီရီးယား ပိုးမွှားပါသော အစားအစာနှင့် ရေတို့မှတစ်ဆင့် ကူးစက်တတ်သည့် အဖျားရောဂါဖြစ်သည်။ အဖျားကြီးခြင်း၊ ခေါင်းကိုက်ခြင်း၊ ကိုယ်လက်ကိုင်ခဲခြင်းတို့ ဖြစ်စေသည်။
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,အသည်းရောင် အသားဝါ (ဘီ) ဗိုင်းရပ်စ်ပိုးပါသော သွေးနှင့် ခန္ဓာကိုယ်ထွက်ရည်များမှတစ်ဆင့် ကူးစက်သည့် အသည်းရောင်ရောဂါဖြစ်သည်။ အသည်းခြောက်ခြင်းနှင့် အသည်းကင်ဆာအထိ ဖြစ်ပွားစေနိုင်သည်။
မှိုပိုးဝင်ရောဂါ,ခန္ဓာကိုယ် ခုခံအားစနစ်မှ မထိန်းချုပ်နိုင်တော့ဘဲ အရေပြား သို့မဟုတ် ခန္ဓာကိုယ် အစိတ်အပိုင်းများတွင် မှိုပိုးမွှားများ ကူးစက်ပွားများလာသည့် ရောဂါဖြစ်သည်။
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,သွေးမှတစ်ဆင့် အဓိကကူးစက်သည့် အသည်းရောင် အသားဝါ (စီ) ဗိုင်းရပ်စ်ပိုးကြောင့် ဖြစ်ပွားပြီး နာတာရှည် အသည်းရောင်ခြင်း၊ အသည်းခြောက်ခြင်းနှင့် အသည်းကင်ဆာတို့ကို ဖြစ်စေနိုင်သည်။
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,ဦးခေါင်းတစ်ခြမ်းတွင် ပြင်းထန်စွာ ထိုးကိုက်သည့် ခေါင်းကိုက်ရောဂါဖြစ်သည်။ ပျို့အန်ချင်ခြင်း၊ အလင်းနှင့် အသံတို့ကို မခံနိုင်ခြင်းတို့ပါ ပူးတွဲဖြစ်ပွားတတ်သည်။
ပန်းနာရင်ကြပ်ရောဂါ,အဆုတ်တွင်း လေပြွန်များ ရောင်ရမ်းကျဉ်းမြောင်းသွားပြီး အကျွဲကျပ်ခြင်း၊ အသက်ရှူရခက်ခဲခြင်းနှင့် ချောင်းဆိုးခြင်းတို့ကို ဖြစ်စေသည့် နာတာရှည် ရောဂါဖြစ်သည်။
အရက်ကြောင့် အသည်းရောင်ရောဂါ,အရက်ကို ကာလရှည် စွဲမြဲစွာ သောက်သုံးခြင်းကြောင့် အသည်းဆဲလ်များ ရောင်ရမ်းပျက်စီးသည့် ရောဂါဖြစ်သည်။
အသားဝါရောဂါ,သွေးတွင်း၌ သည်းခြေရည်ဆိုးဆေး (Bilirubin) ပမာဏ ပုံမှန်ထက် များပြားလာခြင်းကြောင့် အရေပြားနှင့် မျက်လုံးအဖြူရောင်တို့ အဝါရောင်သို့ ပြောင်းလဲသွားသည့် အခြေအနေဖြစ်သည်။
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,မသန့်ရှင်းသော သောက်သုံးရေနှင့် အစားအစာတို့မှတစ်ဆင့် အသည်းရောင် အသားဝါ (အီး) ဗိုင်းရပ်စ်ပိုး ဝင်ရောက်ရာမှ ဖြစ်ပွားသည့် ရောဂါဖြစ်သည်။
သွေးလွန်တုပ်ကွေးရောဂါ,ခြင်ကျားကိုက်ခံရမှုမှတစ်ဆင့် ကူးစက်တတ်သည့် ဗိုင်းရပ်စ် ရောဂါဖြစ်ပြီး အဖျားကြီးခြင်း၊ ပြင်းထန်စွာ အဆစ်အမြစ်နှင့် ကြွက်သားများ ကိုက်ခဲခြင်း၊ အနီစက်များ ထွက်ခြင်းတို့ ဖြစ်စေသည်။
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,အသည်းရောင် အသားဝါ (ဘီ) ပိုးရှိသူများတွင်သာ ပူးတွဲကူးစက်နိုင်သော အသည်းရောင် အသားဝါ (ဒီ) ဗိုင်းရပ်စ်ပိုးကြောင့် ဖြစ်ပွားသည့် ပြင်းထန်အသည်းရောင် ရောဂါဖြစ်သည်။
နှလုံးဖောက်ရောဂါ,နှလုံးကြွက်သားသို့ သွေးထောက်ပံ့ပေးသည့် သွေးလွှတ်ကြော ပိတ်ဆို့သွားသဖြင့် နှလုံးကြွက်သားများ ပျက်စီးသွားသည့် အရေးပေါ် နှလုံးရောဂါ အခြေအနေဖြစ်သည်။
