Symptom,ရောဂါလက္ခဏာ (မြန်မာ),ပြင်းထန်မှုအဆင့်
itching,ယားယံ,1
skin_rash,အရေပြားပေါ် အဖုအပိန့်ထ,3
nodal_skin_eruptions,အရေပြား အဖုအကျိတ်ထ,4
continuous_sneezing,ဆက်တိုက် နှာချေ,4
shivering,တုန်ချမ်း,5
chills,ချမ်းစိမ့်စိမ့်ဖြစ်,3
joint_pain,အဆစ်အမြစ်နာ,3
stomach_pain,အစာအိမ်နာ,5
acidity,အက်ဆစ်ဓာတ်များ,3
ulcers_on_tongue,လျှာတွင် အနာဖြစ်,4
muscle_wasting,ကြွက်သား သိမ်လှီ,3
vomiting,အန်,5
burning_micturition,ဆီးပူ / ဆီးကျင်,6
spotting_urination,ဆီးစက်ရုံမျှ သွား,6
fatigue,မောပန်းနွမ်းနယ်,4
weight_gain,ကိုယ်အလေးချိန် တိုး,3
anxiety,စိုးရိမ်ပူပန်စိတ်များ,4
cold_hands_and_feets,ခြေလက်များ အေးစက်,5
mood_swings,စိတ်ခံစားချက် မတည်ငြိမ်,3
weight_loss,ကိုယ်အလေးချိန် လျော့ကျ,3
restlessness,ဂဏှာမငြိမ်ဖြစ်,5
lethargy,နဂိုအတိုင်း အားအင်မရှိ မှေးမှိုင်,2
patches_in_throat,လည်ချောင်းတွင် အကွက်များဖြစ်,6
irregular_sugar_level,သွေးတွင်းသကြားဓာတ် မမှန်,5
cough,ချောင်းဆိုး,4
high_fever,အဖျားကြီး,7
sunken_eyes,မျက်တွင်းဟောက်ပိုင်ဖြစ်,3
breathlessness,အသက်ရှူရခက်ခဲ / မော,4
sweating,ချွေးထွက်လွန်,3
dehydration,ရေဓာတ်ခမ်းခြောက်,4
indigestion,အစာမကြေဖြစ်,5
headache,ခေါင်းကိုက်,3
yellowish_skin,အရေပြား ဝါ,3
dark_urine,ဆီးအရောင် ရင့်/ရဲ,4
nausea,ပျို့အန်ချင်,5
loss_of_appetite,ခံတွင်းပျက် / အစားအသောက်ပျက်,4
pain_behind_the_eyes,မျက်လုံးအိမ် အနောက်ဘက် အောင့်နာ,4
back_pain,ခါးနာ / ကျောနာ,3
constipation,ဝမ်းချုပ်,4
abdominal_pain,ဗိုက်နာ / ဗိုက်အောင့်,4
diarrhoea,ဝမ်းလျှော,6
mild_fever,အဖျားငွေ့ငွေ့ရှိ,5
yellow_urine,ဆီးဝါ,4
yellowing_of_eyes,မျက်လုံးဝါ,4
acute_liver_failure,ရုတ်တရက် အသည်းပျက်စီး,6
fluid_overload,ခန္ဓာကိုယ်တွင်း အရည်များပြည့်,6
swelling_of_stomach,ဗိုက်ဖောင်းရောင်,7
