ရောဂါအမည်,ရောဂါလက္ခဏာ_၁,ရောဂါလက္ခဏာ_၂,ရောဂါလက္ခဏာ_၃,ရောဂါလက္ခဏာ_၄,ရောဂါလက္ခဏာ_၅,ရောဂါလက္ခဏာ_၆,ရောဂါလက္ခဏာ_၇,ရောဂါလက္ခဏာ_၈,ရောဂါလက္ခဏာ_၉,ရောဂါလက္ခဏာ_၁၀,ရောဂါလက္ခဏာ_၁၁,ရောဂါလက္ခဏာ_၁၂,ရောဂါလက္ခဏာ_၁၃,ရောဂါလက္ခဏာ_၁၄,ရောဂါလက္ခဏာ_၁၅,ရောဂါလက္ခဏာ_၁၆,ရောဂါလက္ခဏာ_၁၇
မှိုပိုးဝင်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အရေပြားပေါ် အဖုအပိန့်ထ,အရေပြား အရောင်ပြောင်းကွက်,,,,,,,,,,,,,
မှိုပိုးဝင်ရောဂါ,အရေပြား အဖုအပိန့်ထ,အရေပြားပေါ် အဖုအပိန့်ထ,အရေပြား အရောင်ပြောင်းကွက်,,,,,,,,,,,,,,
မှိုပိုးဝင်ရောဂါ,ယားယံ,အရေပြားပေါ် အဖုအပိန့်ထ,အရေပြား အရောင်ပြောင်းကွက်,,,,,,,,,,,,,,
မှိုပိုးဝင်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အရေပြား အရောင်ပြောင်းကွက်,,,,,,,,,,,,,,
မှိုပိုးဝင်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အရေပြားပေါ် အဖုအပိန့်ထ,,,,,,,,,,,,,,
ဓာတ်မတည့်ရောဂါ,ဆက်တိုက် နှာချေ,တုန်ချမ်း,ချမ်းစိမ့်,မျက်ရည်ယို,,,,,,,,,,,,,
ဓာတ်မတည့်ရောဂါ,တုန်ချမ်း,ချမ်းစိမ့်,မျက်ရည်ယို,,,,,,,,,,,,,,
ဓာတ်မတည့်ရောဂါ,ဆက်တိုက် နှာချေ,ချမ်းစိမ့်,မျက်ရည်ယို,,,,,,,,,,,,,,
ဓာတ်မတည့်ရောဂါ,ဆက်တိုက် နှာချေ,တုန်ချမ်း,မျက်ရည်ယို,,,,,,,,,,,,,,
ဓာတ်မတည့်ရောဂါ,ဆက်တိုက် နှာချေ,တုန်ချမ်း,ချမ်းစိမ့်,,,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,အက်ဆစ်ဓာတ်များ,လျှာတွင် အနာဖြစ်,အန်,ချောင်းဆိုး,ရင်ဘတ်နာ,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,လျှာတွင် အနာဖြစ်,အန်,ချောင်းဆိုး,ရင်ဘတ်နာ,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,အက်ဆစ်ဓာတ်များ,အန်,ချောင်းဆိုး,ရင်ဘတ်နာ,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,အက်ဆစ်ဓာတ်များ,လျှာတွင် အနာဖြစ်,ချောင်းဆိုး,ရင်ဘတ်နာ,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,အက်ဆစ်ဓာတ်များ,လျှာတွင် အနာဖြစ်,အန်,ရင်ဘတ်နာ,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အစာအိမ်နာ,အက်ဆစ်ဓာတ်များ,လျှာတွင် အနာဖြစ်,အန်,ချောင်းဆိုး,,,,,,,,,,,,
အစာရေမျိုပြွန် အက်ဆစ်ပြန်တက်ရောဂါ,အက်ဆစ်ဓာတ်များ,လျှာတွင် အနာဖြစ်,အန်,ချောင်းဆိုး,ရင်ဘတ်နာ,,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,အန်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,အသားဝါ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,အသားဝါ,ပျို့အန်ချင်,ဗိုက်နာ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,မျက်လုံးဝါ,,,,,,,,,,,
နာတာရှည် သည်းခြေလမ်းကြောင်း ပိတ်ဆို့ရောဂါ,ယားယံ,အန်,အသားဝါ,ပျို့အန်ချင်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အစာအိမ်နာ,ဆီးပူ/ဆီးအောင့်,ဆီး အစက်ချရုံသွား,,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ,အစာအိမ်နာ,ဆီးပူ/ဆီးအောင့်,ဆီး အစက်ချရုံသွား,,,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,ဆီးပူ/ဆီးအောင့်,ဆီး အစက်ချရုံသွား,,,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အစာအိမ်နာ,ဆီး အစက်ချရုံသွား,,,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,အစာအိမ်နာ,ဆီးပူ/ဆီးအောင့်,,,,,,,,,,,,,
ဆေးဝါး ဓာတ်မတည့်ရောဂါ,အရေပြား အဖုအပိန့်ထ,အစာအိမ်နာ,ဆီးပူ/ဆီးအောင့်,ဆီး အစက်ချရုံသွား,,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,လေပွ/လေလည်,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,အစာမကြေ,ဗိုက်နာ,လေပွ/လေလည်,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အစာမကြေ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,လေပွ/လေလည်,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,အစာမကြေ,ခံတွင်းပျက်/အဆာမပြေ,လေပွ/လေလည်,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,အစာမကြေ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,အစာမကြေ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,လေပွ/လေလည်,,,,,,,,,,,,
အစာအိမ်နှင့် အူသိမ် အနာရောဂါ,အန်,အစာမကြေ,ခံတွင်းပျက်/အဆာမပြေ,ဗိုက်နာ,လေပွ/လေလည်,အတွင်းပိုင်း ယားယံ,,,,,,,,,,,
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),ကြွက်သားပိန်လှီ,လည်ချောင်းတွင် အကွက်များတွေ့,အဖျားကြီး,အိမ်ထောင်ပြင်ပ လိင်ဆက်ဆံမှုရှိ,,,,,,,,,,,,,
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),လည်ချောင်းတွင် အကွက်များတွေ့,အဖျားကြီး,အိမ်ထောင်ပြင်ပ လိင်ဆက်ဆံမှုရှိ,,,,,,,,,,,,,,
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),ကြွက်သားပိန်လှီ,အဖျားကြီး,အိမ်ထောင်ပြင်ပ လိင်ဆက်ဆံမှုရှိ,,,,,,,,,,,,,,
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),ကြွက်သားပိန်လှီ,လည်ချောင်းတွင် အကွက်များတွေ့,အိမ်ထောင်ပြင်ပ လိင်ဆက်ဆံမှုရှိ,,,,,,,,,,,,,,
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),ကြွက်သားပိန်လှီ,လည်ချောင်းတွင် အကွက်များတွေ့,အဖျားကြီး,,,,,,,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,
ဆီးချိုရောဂါ,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အဆုတ်လွန် အဝလွန်,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
